    0.10000E-03    0.56894E+03
    0.10202E-03    0.57996E+03
    0.10408E-03    0.59120E+03
    0.10618E-03    0.60266E+03
    0.10833E-03    0.61434E+03
    0.11052E-03    0.62624E+03
    0.11275E-03    0.63838E+03
    0.11503E-03    0.65074E+03
    0.11735E-03    0.66335E+03
    0.11972E-03    0.67621E+03
    0.12214E-03    0.68931E+03
    0.12461E-03    0.70266E+03
    0.12712E-03    0.71628E+03
    0.12969E-03    0.73016E+03
    0.13231E-03    0.74430E+03
    0.13499E-03    0.75872E+03
    0.13771E-03    0.77342E+03
    0.14049E-03    0.78840E+03
    0.14333E-03    0.80367E+03
    0.14623E-03    0.81924E+03
    0.14918E-03    0.83511E+03
    0.15220E-03    0.85128E+03
    0.15527E-03    0.86777E+03
    0.15841E-03    0.88458E+03
    0.16161E-03    0.90171E+03
    0.16487E-03    0.91917E+03
    0.16820E-03    0.93697E+03
    0.17160E-03    0.95511E+03
    0.17507E-03    0.97361E+03
    0.17860E-03    0.99246E+03
    0.18221E-03    0.10117E+04
    0.18589E-03    0.10313E+04
    0.18965E-03    0.10512E+04
    0.19348E-03    0.10716E+04
    0.19739E-03    0.10923E+04
    0.20138E-03    0.11134E+04
    0.20544E-03    0.11350E+04
    0.20959E-03    0.11569E+04
    0.21383E-03    0.11793E+04
    0.21815E-03    0.12021E+04
    0.22255E-03    0.12254E+04
    0.22705E-03    0.12491E+04
    0.23164E-03    0.12733E+04
    0.23632E-03    0.12979E+04
    0.24109E-03    0.13230E+04
    0.24596E-03    0.13486E+04
    0.25093E-03    0.13746E+04
    0.25600E-03    0.14012E+04
    0.26117E-03    0.14283E+04
    0.26645E-03    0.14559E+04
    0.27183E-03    0.14840E+04
    0.27732E-03    0.15126E+04
    0.28292E-03    0.15419E+04
    0.28864E-03    0.15716E+04
    0.29447E-03    0.16020E+04
    0.30042E-03    0.16329E+04
    0.30649E-03    0.16644E+04
    0.31268E-03    0.16965E+04
    0.31899E-03    0.17292E+04
    0.32544E-03    0.17626E+04
    0.33201E-03    0.17965E+04
    0.33872E-03    0.18312E+04
    0.34556E-03    0.18664E+04
    0.35254E-03    0.19024E+04
    0.35966E-03    0.19390E+04
    0.36693E-03    0.19764E+04
    0.37434E-03    0.20144E+04
    0.38190E-03    0.20531E+04
    0.38962E-03    0.20926E+04
    0.39749E-03    0.21329E+04
    0.40552E-03    0.21738E+04
    0.41371E-03    0.22156E+04
    0.42207E-03    0.22581E+04
    0.43060E-03    0.23015E+04
    0.43929E-03    0.23456E+04
    0.44817E-03    0.23906E+04
    0.45722E-03    0.24365E+04
    0.46646E-03    0.24831E+04
    0.47588E-03    0.25307E+04
    0.48550E-03    0.25791E+04
    0.49530E-03    0.26285E+04
    0.50531E-03    0.26788E+04
    0.51552E-03    0.27300E+04
    0.52593E-03    0.27821E+04
    0.53656E-03    0.28352E+04
    0.54739E-03    0.28893E+04
    0.55845E-03    0.29444E+04
    0.56973E-03    0.30005E+04
    0.58124E-03    0.30576E+04
    0.59299E-03    0.31158E+04
    0.60496E-03    0.31751E+04
    0.61719E-03    0.32354E+04
